Ordo	Date	Rank	Color	Description
gen	0102	mem	White	Basil the Great and Gregory Nazianzen, Bb & Dd
gen	0103	opt	White	The Most Holy Name of Jesus
usa	0104	mem	White	Elizabeth Ann Seton, Rel
usa	0105	mem	White	John Neumann, B
gen	0106	opt		Bl. Andre Bessette, Rel
gen	0107	opt		Raymond of Penyafort, P
gen	0109	fst	White	Baptism of the Lord
gen	0113	opt		Hilary, B & D
gen	0117	mem	White	Anthony, Ab
gen	0120	opt		Fabian, Po & M; Sebastian, M
gen	0121	mem	Red	Agnes, V & M
usa	0122	opt		Vincent, De & M
gen	0124	mem	White	Francis de Sales, B & D
gen	0125	fst	White	Conversion of St. Paul, Ap
gen	0126	mem	White	Timothy and Titus, Bb
gen	0127	opt		Angela Merici, V
gen	0128	mem	White	Thomas Aquinas, P & D
gen	0131	mem	White	John Bosco, P
gen	0202	fst	White	Presentation of the Lord
gen	0203	opt		Blase, B & M; Ansgar, B
gen	0205	mem	Red	Agatha, V & M
gen	0206	mem	Red	Paul Miki and companions, Mm
gen	0208	opt		Jerome Emiliani; Josephine Bakhita, V
gen	0210	mem	White	Scholastica, V
gen	0211	opt		Our Lady of Lourdes
gen	0214	mem	White	Cyril, monk, and Methodius, B
gen	0217	opt		Seven Founders of the Order of Servites
gen	0221	opt		Peter Damian, B & D
gen	0222	fst	White	Chair of Peter, Ap
gen	0223	com	red	Polycarp, B & M
usa	0303	com		Katharine Drexel, V
gen	0304	opt		Casimir, HM
gen	0307	com	Red	Perpetua and Felicity, Mm
gen	0308	com		John of God, Rel
gen	0309	com		Frances of Rome, Rel
gen	0317	com		Patrick, B
gen	0318	com		Cyril of Jerusalem, B & D
gen	0319	sol	White	Joseph, Husband of BVM, HM
gen	0323	com		Turibius de Mogrovejo, B
gen	0402	com		Francis of Paola, hermit
gen	0404	com		Isidore, B & D
gen	0405	com		Vincent Ferrer, P
gen	0407	com		John Baptist de la Salle, P
gen	0411	com		Stanislaus, B & M
gen	0413	com		Martin I, Po & M
gen	0415	com		Bl. Damien Joseph de Veuster, P
gen	0421	opt		Anselm, B & D
gen	0423	opt		George, M; Adalbert, B & M
gen	0424	opt		Fidelis of Sigmaringen	 P & M
gen	0425	fst	Red	Mark, Evangelist
gen	0428	opt		Peter Chanel, P & M; Louis Mary de Montfort, P
gen	0419	mem	White	Catherine of Siena, V & D
gen	0430	opt		Pius V, Po
gen	0501	opt		Joseph the Worker
gen	0502	mem	White	Athanasius, B & D
gen	0503	fst	Red	Philip & James, Ap
gen	0512	opt		Nereus and Achilleus, Mm; Pancras, M
gen	0514	fst	Red	Matthias, Ap
usa	0515	opt		Isidore, Farmer
gen	0518	opt		John I, Po & M
