Ordo	Date	Rank	Color	Description
ar	0122	opt	 	Blessed Laura Vicuña
ar	0124	opt	 	Our Lady, Queen of Peace
ar	0427	fst	 	Saint Turibius of Mogrovejo, B
ar	0508	sol	 	Our Lady of Luján, Patroness of Argentina
ar	0515	opt	 	Saint Isidore the Laborer
ar	0516	opt	 	Saint Luigi Orione, P
ar	0524	opt	 	Mary, Help of Christians
ar	0709	obl	 	Our Lady of Itatí
ar	0710	opt	 	Saints Augustine Zhao Rong, P, and Companions, Mm
ar	0716	obl	 	Our Lady of Mount Carmel
ar	0723	opt	 	Saint Sharbel Makhlūf, P
ar	0724	obl	 	Saint Francis Solanus, P
ar	0816	opt	 	Saint Rocco, P
ar	0826	opt	 	Blessed Ceferino Namuncurá
ar	0830	fst	 	Saint Rose of Lima
ar	0924	obl	 	Our Lady of Mercy
ar	1009	opt	 	Saint Héctor Valdivielso Sáez, M
ar	1012	opt	 	Our Lady of the Pillar
ar	1107	obl	 	Mary, Mother and Mediatrix of Grace
ar	1117	obl	 	Saints Roque González, Alfonso Rodríguez, and Juan del Castillo, Pp and Mm
ar	1118	obl	 	Saint Elizabeth of Hungary
ar	1212	fst	 	Our Lady of Guadalupe
au	0123	mem	 	Saint Timothy and Saint Titus
au	0317	sol	 	Saint Patrick, HM
au	0426	fst	 	Saint Mark, Ap
au	0428	mem	 	Saint Peter Chanel, P
au	0524	sol	 	Our Lady, Help of Christians
au	0707	opt	 	Blessed Peter To Rot
au	0805	mem	 	Saint Dominic, P
au	0808	fst	 	Saint Mary of the Cross (Saint Mary MacKillop)
br	1012	sol	 	Our Lady of Aparecida Nossa Senhora Aparecida
ca	0104	mem	 	Saint Elizabeth Ann Seton (Archdiocese of Halifax), HW
ca	0107	mem	 	Saint Andre Bessette
ca	0112	mem	 	Saint Marguerite Bourgeoys
ca	0319	sol	 	Saint Joseph, Patron of Canada, HM
ca	0417	opt	 	Saint Kateri Tekakwitha, V
ca	0418	opt	 	Blessed Marie-Anne Blondin
ca	0426	opt	 	Our Lady of Good Counsel
ca	0430	opt	 	Blessed Marie of the Incarnation
ca	0504	opt	 	Blessed Marie-Léonie Paradis
ca	0506	opt	 	Blessed Francois de Laval
ca	0508	opt	 	Blessed Catherine of Saint Augustine
ca	0521	opt	 	Saint Eugene de Mazenod
ca	0524	opt	 	Blessed Louis-Zephirin Moreau
ca	0627	opt	 	Blesseds Nykyta Budka and Vasyl Velychkowsky, Bb & Mm
ca	0726	fst	 	Saint Anne and Joachim, parents of Mary, HW & HM
ca	0805	opt	 	Blessed Frédéric Janssoone
ca	0904	opt	 	Blessed Dina Belanger
ca	0923	opt	 	Blessed Émilie Tavernier-Gamelin
ca	0926	fst	 	Saints John de Brebeuf, Isaac Jogues & Comp., Mm
ca	1006	opt	 	Blessed Marie-Rose Durocher
ca	1016	mem	 	Saint Marie-Marguerite d'Youville
ca	1212	fst	 	Our Lady of Guadalupe
cl	0122	opt	 	Blessed Laura Vicuña
cl	0207	opt	 	Blessed Pius IX
cl	0211	mem	 	Our Lady of Lourdes
cl	0503	fst	 	Exaltation of the Holy Cross
cl	0504	fst	 	Saints Philip and James
cl	0713	fst	 	Saint Teresa of the Andes
cl	0714	opt	 	Saint Camillus de Lellis or Saint Henry
cl	0716	sol	 	Our Lady of Mount Carmel, Mother and Queen of Chile
cl	0818	mem	 	Saint Alberto Hurtado
cl	0830	fst	 	Saint Rose of Lima
cl	0924	opt	 	Our Lady of Mercy
cl	1011	opt	 	Blessed John XXIII
cl	1212	fst	 	Our Lady of Guadalupe
hr	0210	mem	 	Blessed Aloysius Stepinac
hr	0510	mem	 	Blessed Ivan Merz
hr	0512	mem	 	Saint Leopold Mandić
hr	0604	opt	 	Saint Quirinus of Sescia
hr	0709	opt	 	Marija od Propetoga Isusa Petković
hr	0713	fst	 	Our Lady of Bistrica
hr	0803	opt	 	Blessed Augustin Kažotić
hr	0907	mem	 	Saint Marko Križevčanin
hr	1114	fst	 	Saint Nikola Tavelić
eng	0112	opt	 	Saint Aelred of Rievaulx
eng	0119	opt	 	Saint Wulstan
eng	0214	fst	 	Saints Cyril and Methodius
eng	0301	fst	 	Saint David
eng	0317	fst	 	Saint Patrick
eng	0421	opt	 	Saint Anselm of Canterbury
eng	0423	sol	 	Saint George
eng	0424	opt	 	Saint Adalbert or Saint Fidelis of Sigmaringen
eng	0429	fst	 	Saint Catherine of Siena
eng	0504	fst	 	The English Martyrs, Mm
eng	0519	opt	 	Saint Dunstan
eng	0525	mem	 	Saint Bede the Venerable
eng	0527	fst	 	Saint Augustine of Canterbury
eng	0605	mem	 	Saint Boniface
eng	0609	opt	 	Saint Columba
eng	0616	opt	 	Saint Richard of Chichester
eng	0620	opt	 	Saint Alban
eng	0622	fst	 	Saints John Fisher and Thomas More
eng	0623	opt	 	Saint Etheldreda (Audrey)
eng	0701	opt	 	Saint Oliver Plunket
eng	0711	fst	 	Saint Benedict
eng	0723	fst	 	Saint Bridget
eng	0809	fst	 	Saint Teresa Benedicta of the Cross (Edith Stein)
eng	0826	opt	 	Blessed Dominic of the Mother of God Barberi
eng	0830	opt	 	Saints Margaret Clitherow, Anne Line and Margaret Ward
eng	0831	opt	 	Saint Aidan and the Saints of Lindisfarne
eng	0903	fst	 	Saint Gregory the Great
eng	0904	opt	 	Saint Cuthbert
eng	0919	opt	 	Saint Theodore of Canterbury
eng	0924	mem	 	Our Lady of Walsingham
eng	1009	opt	 	Blessed John Henry Newman
eng	1010	opt	 	Saint Paulinus of York
eng	1012	opt	 	Saint Wilfrid
eng	1013	opt	 	Saint Edward the Confessor
eng	1026	opt	 	Saints Chad and Cedd
eng	1103	opt	 	Saint Winefride
eng	1107	opt	 	Saint Willibrord
eng	1116	opt	 	Saint Edmund of Abingdon
eng	1116	opt	 	Saint Margaret of Scotland
eng	1117	opt	 	Saint Hilda
eng	1117	opt	 	Saint Hugh
eng	1117	opt	 	Lincoln
eng	1117	opt	 	Saint Elizabeth of Hungary
eng	1130	fst	 	Saint Andrew
