date,season,week,week_day,color,rank,description
20130101,Christmas,w1,#<DayOfWeek:0x007ff668d9f0d8>,white,Solemnity,"MARY, MOTHER OF GOD"
20130102,Christmas,w1,#<DayOfWeek:0x007ff66a0376a0>,white,Memorial,"Basil the Great and Gregory Nazianzen, Bb & Dd"
20130103,Christmas,w1,#<DayOfWeek:0x007ff66a07cac0>,white,Opt. Mem.,"The Most Holy Name of Jesus"
20130104,Christmas,w1,#<DayOfWeek:0x007ff66a097d70>,white,Memorial,"Elizabeth Ann Seton, Rel"
20130105,Christmas,w1,#<DayOfWeek:0x007ff66a0b10b8>,white,Memorial,"John Neumann, B"
20130106,Christmas,w2,#<DayOfWeek:0x007ff66a0c1968>,white,Solemnity,"EPIPHANY"
20130107,Christmas,w2,#<DayOfWeek:0x007ff66a0da788>,white,Opt. Mem.,"Raymond of Penyafort, P"
20130108,Christmas,w2,#<DayOfWeek:0x007ff66a1a4d30>,white,Weekday,"Tuesday in the 2nd Week of Christmas"
20130109,Christmas,w2,#<DayOfWeek:0x007ff668a07a38>,white,Feast,"Baptism of the Lord"
20130110,Christmas,w2,#<DayOfWeek:0x007ff668bad888>,white,Weekday,"Thursday in the 2nd Week of Christmas"
20130111,Christmas,w2,#<DayOfWeek:0x007ff668839418>,white,Weekday,"Friday in the 2nd Week of Christmas"
20130112,Christmas,w2,#<DayOfWeek:0x007ff668ddb768>,white,Weekday,"Saturday in the 2nd Week of Christmas"
20130113,Christmas,w3,#<DayOfWeek:0x007ff668d23fc8>,white,Feast,"Baptism of the Lord"
20130114,OrdinaryTime,w1,#<DayOfWeek:0x007ff668d056b8>,green,Weekday,"Monday in the 1st Week of Ordinary Time"
20130115,OrdinaryTime,w1,#<DayOfWeek:0x007ff66a8cb550>,green,Weekday,"Tuesday in the 1st Week of Ordinary Time"
20130116,OrdinaryTime,w1,#<DayOfWeek:0x007ff66a9f04d0>,green,Weekday,"Wednesday in the 1st Week of Ordinary Time"
20130117,OrdinaryTime,w1,#<DayOfWeek:0x007ff66a112930>,white,Memorial,"Anthony, Ab"
20130118,OrdinaryTime,w1,#<DayOfWeek:0x007ff66a18c7a8>,green,Weekday,"Friday in the 1st Week of Ordinary Time"
20130119,OrdinaryTime,w1,#<DayOfWeek:0x007ff66a1a23f0>,green,Weekday,"Saturday in the 1st Week of Ordinary Time"
20130120,OrdinaryTime,w2,#<DayOfWeek:0x007ff66a410c68>,green,Sunday,"Sunday in the 2nd Week of Ordinary Time"
20130121,OrdinaryTime,w2,#<DayOfWeek:0x007ff66a4268b0>,red,Memorial,"Agnes, V & M"
20130122,OrdinaryTime,w2,#<DayOfWeek:0x007ff66a2ff748>,green,Opt. Mem.,"Vincent, De & M"
20130123,OrdinaryTime,w2,#<DayOfWeek:0x007ff66898b398>,green,Weekday,"Wednesday in the 2nd Week of Ordinary Time"
20130124,OrdinaryTime,w2,#<DayOfWeek:0x007ff6688835e0>,white,Memorial,"Francis de Sales, B & D"
20130125,OrdinaryTime,w2,#<DayOfWeek:0x007ff668891258>,white,Feast,"Conversion of St. Paul, Ap"
20130126,OrdinaryTime,w2,#<DayOfWeek:0x007ff668813498>,white,Memorial,"Timothy and Titus, Bb"
20130127,OrdinaryTime,w3,#<DayOfWeek:0x007ff668821110>,green,Sunday,"Sunday in the 3rd Week of Ordinary Time"
20130128,OrdinaryTime,w3,#<DayOfWeek:0x007ff6688c4b58>,white,Memorial,"Thomas Aquinas, P & D"
20130129,OrdinaryTime,w3,#<DayOfWeek:0x007ff6688ca800>,green,Weekday,"Tuesday in the 3rd Week of Ordinary Time"
20130130,OrdinaryTime,w3,#<DayOfWeek:0x007ff6688e0448>,green,Weekday,"Wednesday in the 3rd Week of Ordinary Time"
20130131,OrdinaryTime,w3,#<DayOfWeek:0x007ff6688ee0c0>,white,Memorial,"John Bosco, P"
20130201,OrdinaryTime,w3,#<DayOfWeek:0x007ff668844d18>,green,Weekday,"Friday in the 3rd Week of Ordinary Time"
20130202,OrdinaryTime,w3,#<DayOfWeek:0x007ff66885a960>,white,Feast,"Presentation of the Lord"
20130203,OrdinaryTime,w4,#<DayOfWeek:0x007ff6688685d8>,green,Sunday,"Sunday in the 4th Week of Ordinary Time"
20130204,OrdinaryTime,w4,#<DayOfWeek:0x007ff668f5a440>,green,Weekday,"Monday in the 4th Week of Ordinary Time"
20130205,OrdinaryTime,w4,#<DayOfWeek:0x007ff668f68090>,red,Memorial,"Agatha, V & M"
20130206,OrdinaryTime,w4,#<DayOfWeek:0x007ff668f7dd00>,red,Memorial,"Paul Miki and companions, Mm"
20130207,OrdinaryTime,w4,#<DayOfWeek:0x007ff668f8b978>,green,Weekday,"Thursday in the 4th Week of Ordinary Time"
20130208,OrdinaryTime,w4,#<DayOfWeek:0x007ff668fa15c0>,green,Opt. Mem.,"Jerome Emiliani; Josephine Bakhita, V"
20130209,OrdinaryTime,w4,#<DayOfWeek:0x007ff66a97c210>,green,Weekday,"Saturday in the 4th Week of Ordinary Time"
