Date,Season,Rank,Color,Description,
0102,Christmas,Memorial,White,"Basil the Great and Gregory Nazianzen, Bb & Dd",
0103,Christmas,Opt. Mem.,White,The Most Holy Name of Jesus,
0104,Christmas,Memorial,White,Elizabeth Ann Seton,
0105,Christmas,Memorial,White,"John Neumann, B",
0106,Christmas,Opt. Mem.,White,"Bl. Andre Bessette, Rel",
0107,Christmas,Opt. Mem.,White,"Raymond of Penyafort, P",
0109,Christmas,Feast,White,Baptism of the Lord,
2013,OrdinaryTime,Opt. Mem.,Green,"Hilary, B & D",
2017,OrdinaryTime,Memorial,White,"Anthony, Ab",
0120,OrdinaryTime,Opt. Mem.,Green,"Fabian, Po & M; Sebastian, M",
0121,OrdinaryTime,Memorial,Red,"Agnes, V & M",
0122,OrdinaryTime,Opt. Mem.,Green,"Vincent, De & M",
0124,OrdinaryTime,Memorial,White,"Francis de Sales, B & D",
0125,OrdinaryTime,Feast,White,"Conversion of St. Paul, Ap",
0126,OrdinaryTime,Memorial,White,"Timothy and Titus, Bb",
0127,OrdinaryTime,Opt. Mem.,Green,"Angela Merici, V",
0128,OrdinaryTime,Memorial,White,"Thomas Aquinas, P & D",
0131,OrdinaryTime,Memorial,White,"John Bosco, P",
0202,OrdinaryTime,Feast,White,Presentation of the Lord,
0203,OrdinaryTime,Opt. Mem.,Green,"Blase, B & M; Ansgar, B",
0205,OrdinaryTime,Memorial,Red,"Agatha, V & M",
0206,OrdinaryTime,Memorial,Red,"Paul Miki and companions, Mm",
0208,OrdinaryTime,Opt. Mem.,Green,"Jerome Emiliani; Josephine Bakhita, V",
0210,OrdinaryTime,Memorial,White,"Scholastica, V",
0211,OrdinaryTime,Opt. Mem.,Green,Our Lady of Lourdes,
0214,OrdinaryTime,Memorial,White,"Cyril, monk, and Methodius, B",
0217,OrdinaryTime,Opt. Mem.,Green,Seven Founders of the Order of Servites,
0221,OrdinaryTime,Opt. Mem.,Green,"Peter Damian, B & D",
0222,OrdinaryTime,white,Feast,"Chair of Peter, Ap",
0223,Lent,Commem.,Purple,"Polycarp, B & M",
0303,Lent,Commem.,Purple,"Katharine Drexel, V",
0304,OrdinaryTime,Opt. Mem.,Green,Casimir,
0307,Lent,Commem.,Purple,"Perpetua and Felicity, Mm",
0308,Lent,Commem.,Purple,"John of God, Rel",
0309,Lent,Commem.,Purple,"Frances of Rome, Rel",
0317,Lent,Commem.,Purple,"Patrick, B",
0318,Lent,Commem.,Purple,"Cyril of Jerusalem, B & D",
0323,Lent,Commem.,Purple,"Turibius de Mogrovejo, B",
0402,Lent,Commem.,Purple,"Francis of Paola, hermit", hermit
0404,Lent,Commem.,Purple,"Isidore, B & D", B & D
0405,Lent,Commem.,Purple,"Vincent Ferrer, P", P
0407,Lent,Commem.,Purple,"John Baptist de la Salle, P", P
0411,Lent,Commem.,Purple,"Stanislaus, B & M", B & M
0413,Lent,Commem.,Purple,"Martin I, Po & M", Po & M
0415,Lent,Commem.,Purple,"Bl. Damien Joseph de Veuster, P", P
0421,Easter,Opt. Mem.,White,"Anselm, B & D",
0423,Easter,Opt. Mem.,White,"George, M; Adalbert, B & M",
0424,Easter,Opt. Mem.,White,"Fidelis of Sigmaringen, P & M",
0425,Easter,Feast,Red,"Mark, Evangelist",
0428,Easter,Opt. Mem.,White,"Peter Chanel, P & M; Louis Mary de Montfort, P",
0419,,Memorial,White,"Catherine of Siena, V & D",
0430,Easter,Opt. Mem.,White,"Pius V, Po",
0501,Easter,Opt. Mem.,White,Joseph the Worker,
0502,Easter,Memorial,White,"Athanasius, B & D",
0503,Easter,Feast,Red,"Philip & James, Ap",
0512,Easter,Opt. Mem.,White,"Nereus and Achilleus, Mm; Pancras, M",
0514,Easter,Feast,Red,"Matthias, Ap",
0515,Easter,Opt. Mem.,White,"Isidore, Farmer",
0518,Easter,Opt. Mem.,White,"John I, Po & M",
0520,Easter,Opt. Mem.,White,"Bernardine of Siena, P",
0521,Easter,Opt. Mem.,White,"Christopher Magallanes, P & M, and companions, Mm",
0522,Easter,Opt. Mem.,White,"Rita of Casica, Rel",
0525,Easter,Opt. Mem.,White,"Venerable Bede, P & D; Gregory VII, Po; Mary Magdalene de Pazzi, V",
0526,Easter,Memorial,White,"Philip Neri, P",
0527,Easter,Opt. Mem.,White,Augustine of Canterbury,
0531,OrdinaryTime,Feast,White,Visitation,
0601,OrdinaryTime,Memorial,Red,"Justin, M",
0602,OrdinaryTime,Opt. Mem.,Green,"Marcellinus and Peter, Mm",
0603,Easter,Memorial,Red,"Charles Lwanga and companions, Mm",
0605,OrdinaryTime,Memorial,Red,"Boniface, B & M",
0606,OrdinaryTime,Opt. Mem.,Green,"Norbert, B",
0609,OrdinaryTime,Opt. Mem.,Green,"Ephrem, De & D",
0611,OrdinaryTime,Memorial,Red,"Barnabas, Ap",
0613,OrdinaryTime,Memorial,White,"Anthony of Padua, P & D",
0619,OrdinaryTime,Opt. Mem.,Green,"Romuald, Ab",
0621,OrdinaryTime,Memorial,White,"Aloysius Gonzaga, Rel",
0622,OrdinaryTime,Opt. Mem.,Green,"Paulinus of Nola, B; John Fisher, B & M and Thomas More, M",
0627,OrdinaryTime,Opt. Mem.,Green,"Cyril of Alexandria, B & D",
0628,OrdinaryTime,Memorial,Red,"Irenaeus, B & M",
0630,OrdinaryTime,Opt. Mem.,Green,First Martyrs of the Church of Rome,
0703,OrdinaryTime,Feast,Red,"Thomas, Ap",
0704,OrdinaryTime,Opt. Mem.,Green,Elizabeth of Portugal,
0705,OrdinaryTime,Opt. Mem.,Green,"Anthony Zaccaria, P",
0706,OrdinaryTime,Opt. Mem.,Green,"Maria Goretti, V & M",
0709,OrdinaryTime,Opt. Mem.,Green,"Augustine Zhao Rong, P & M, and companions, Mm",
0711,OrdinaryTime,Memorial,White,"Benedict, Ab",
0713,OrdinaryTime,Opt. Mem.,Green,Henry,
0714,OrdinaryTime,Memorial,White,"Kateri Tekakwitha, V",
0715,OrdinaryTime,Memorial,White,"Bonaventure, B & D",
0716,OrdinaryTime,Opt. Mem.,Green,Our Lady of Mount Carmel,
0720,OrdinaryTime,Opt. Mem.,Green,"Apollinarus, B & M",
0721,OrdinaryTime,Opt. Mem.,Green,"Lawrence of Brindisi, P & D",
0722,OrdinaryTime,Memorial,White,"Mary Magdalene, Hw",
0723,OrdinaryTime,Opt. Mem.,Green,"Bridget, Rel",
0724,OrdinaryTime,Opt. Mem.,Green,"Sharbel Makhluf, P",
0725,OrdinaryTime,Feast,Red,"James, Ap",
0726,OrdinaryTime,Memorial,White,"Joachim and Ann, Parents of Mary",
0729,OrdinaryTime,Memorial,White,"Martha, Hw",
