Date,Rank,Color,Description
0102,mem,White,"Basil the Great and Gregory Nazianzen, Bb & Dd"
0103,opt,White,The Most Holy Name of Jesus
0104,mem,White,Elizabeth Ann Seton
0105,mem,White,"John Neumann, B"
0106,opt,White,"Bl. Andre Bessette, Rel"
0107,opt,White,"Raymond of Penyafort, P"
0109,fst,White,Baptism of the Lord
0113,opt,Green,"Hilary, B & D"
0117,mem,White,"Anthony, Ab"
0120,opt,Green,"Fabian, Po & M; Sebastian, M"
0121,mem,Red,"Agnes, V & M"
0122,opt,Green,"Vincent, De & M"
0124,mem,White,"Francis de Sales, B & D"
0125,fst,White,"Conversion of St. Paul, Ap"
0126,mem,White,"Timothy and Titus, Bb"
0127,opt,Green,"Angela Merici, V"
0128,mem,White,"Thomas Aquinas, P & D"
0131,mem,White,"John Bosco, P"
0202,fst,White,Presentation of the Lord
0203,opt,Green,"Blase, B & M; Ansgar, B"
0205,mem,Red,"Agatha, V & M"
0206,mem,Red,"Paul Miki and companions, Mm"
0208,opt,Green,"Jerome Emiliani; Josephine Bakhita, V"
0210,mem,White,"Scholastica, V"
0211,opt,Green,Our Lady of Lourdes
0214,mem,White,"Cyril, monk, and Methodius, B"
0217,opt,Green,Seven Founders of the Order of Servites
0221,opt,Green,"Peter Damian, B & D"
0222,white,fst,"Chair of Peter, Ap"
0223,com,Purple,"Polycarp, B & M"
0303,com,Purple,"Katharine Drexel, V"
0304,opt,Green,Casimir
0307,com,Purple,"Perpetua and Felicity, Mm"
0308,com,Purple,"John of God, Rel"
0309,com,Purple,"Frances of Rome, Rel"
0317,com,Purple,"Patrick, B"
0318,com,Purple,"Cyril of Jerusalem, B & D"
0323,com,Purple,"Turibius de Mogrovejo, B"
0402,com,Purple,"Francis of Paola, hermit"
0404,com,Purple,"Isidore, B & D"
0405,com,Purple,"Vincent Ferrer, P"
0407,com,Purple,"John Baptist de la Salle, P"
0411,com,Purple,"Stanislaus, B & M"
0413,com,Purple,"Martin I, Po & M"
0415,com,Purple,"Bl. Damien Joseph de Veuster, P"
0421,opt,White,"Anselm, B & D"
0423,opt,White,"George, M; Adalbert, B & M"
0424,opt,White,"Fidelis of Sigmaringen, P & M"
0425,fst,Red,"Mark, Evangelist"
0428,opt,White,"Peter Chanel, P & M; Louis Mary de Montfort, P"
0419,mem,White,"Catherine of Siena, V & D"
0430,opt,White,"Pius V, Po"
0501,opt,White,Joseph the Worker
0502,mem,White,"Athanasius, B & D"
